type	lineA	lineB	witA	witB	A_form	A_lemma	A_pos	B_form	B_lemma	B_pos
lacune	1	1	Cliges_A	Cliges_P	54b	arbre	NOMcom			
pos_diff	3	3	Cliges_A	Cliges_P	Amors	amor	NOMpro	Amors	amor	NOMcom
lexicale	3	3	Cliges_A	Cliges_P	romans	romanz	NOMcom	rime	rime4	NOMcom
lexicale	5	5	Cliges_A	Cliges_P	Del	de+le	PRE.DETdef	Du	deus	PRE.DETdef
pos_diff	8	8	Cliges_A	Cliges_P	rancomance	recomencier	NOMcom	recommence	recomencier	VERcjg
lexicale	11	11	Cliges_A	Cliges_P	Mes	mès	CONcoo	Mais	mais1	CONcoo
lexicale	12	12	Cliges_A	Cliges_P	Orroiz	öir	VERcjg	Ores	or4	NOMpro
lexicale	14	14	Cliges_A	Cliges_P	fier	fier	ADJqua	haut	haut	ADJqua
lexicale	14	14	Cliges_A	Cliges_P	corage	corage	NOMcom	parage	parage	NOMcom
pos_diff	16	16	Cliges_A	Cliges_P	engleterre	engleterre	NOMcom	Engleterre	engleterre	NOMpro
lexicale	20	20	Cliges_A	Cliges_P	livres	livre3	NOMcom	livres	livre2	NOMcom
lexicale	22	22	Cliges_A	Cliges_P	estrez	estre1	VERppe	estrais	estraire	VERppe
vers_ajoute		23	Cliges_A	Cliges_P						
vers_ajoute		24	Cliges_A	Cliges_P						
pos_diff	23	25	Cliges_A	Cliges_P	voire	voir	ADJqua	voire	voir	ADVgen
lexicale	24	26	Cliges_A	Cliges_P	Por	por2	PRE	De	de	PRE
lexicale	24	26	Cliges_A	Cliges_P	ce	ce1	PROdem	tant	tant	ADVgen
lexicale	26	28	Cliges_A	Cliges_P	fez	fé	VERppe	fais	fait1	NOMcom
lexicale	28	30	Cliges_A	Cliges_P	Ce	ce2	PROdem	Or	or4	ADVgen
lexicale	28	30	Cliges_A	Cliges_P	nos	nos1	PROper	vos	vos	PROper
lexicale	28	30	Cliges_A	Cliges_P	ont	avoir	VERcjg	ert	estre1	VERcjg
ajout	28	30	Cliges_A	Cliges_P				par	par	PRE
lexicale	28	30	Cliges_A	Cliges_P	notre	nostre	DETpos	cest	cest	DETdem
lacune	29	31	Cliges_A	Cliges_P	an	en1	PRE			
lexicale	34	36	Cliges_A	Cliges_P	maintenue	maintenir	VERppe	retenue	retenir	VERppe
lexicale	38	40	Cliges_A	Cliges_P	altres	autre	PROind	Grigois	gregois	NOMpro
lexicale	38	40	Cliges_A	Cliges_P	prestee	prester	VERppe	donee	doner	VERppe
lexicale	39	41	Cliges_A	Cliges_P	Car	car	CONcoo	Mais	mais1	CONcoo
lexicale	39	41	Cliges_A	Cliges_P	des	de+le	PRE.DETdef	de	de	PRE
pos_diff	39	41	Cliges_A	Cliges_P	Grezois	gregois	NOMcom	Grigois	gregois	NOMpro
lacune	40	42	Cliges_A	Cliges_P	an	en1	PRE			
lexicale	40	42	Cliges_A	Cliges_P	mes	mais1	CONcoo	ore	or4	NOMcom
lacune	41	43	Cliges_A	Cliges_P	54c	100	NOMcom			
lexicale	42	44	Cliges_A	Cliges_P	estrainte	estreindre	VERppe	estainte	esteindre	VERppe
pos_diff	42	44	Cliges_A	Cliges_P	brese	brese	VERppe	brese	brese	NOMcom
pos_diff	43	45	Cliges_A	Cliges_P	Crestiens	crestiien	NOMpro	Crestijens	crestiien	NOMcom
lexicale	45	47	Cliges_A	Cliges_P	Qui	que2	PROrel	Qu'	que4	CONsub
lexicale	45	47	Cliges_A	Cliges_P	trez	tref2	VERppe	il	il	PROper
lexicale	45	47	Cliges_A	Cliges_P	fu	estre1	VERcjg	traite	traire	VERcjg
lexicale	48	50	Cliges_A	Cliges_P	ot	avoir	VERcjg	i	i2	PROadv
lexicale	48	50	Cliges_A	Cliges_P	cointe	cointe	ADJqua	ot	avoir	VERcjg
lexicale	48	50	Cliges_A	Cliges_P	et	et	CONcoo	molt	mout	ADVgen
pos_diff	49	51	Cliges_A	Cliges_P	Don	dont	NOMpro	Dont	dont	PROrel
lexicale	50	52	Cliges_A	Cliges_P	Mes	mès	CONcoo	Mais	mais1	CONcoo
lexicale	53	55	Cliges_A	Cliges_P	Poist	poissant	DETind	Peust	poil	DETind
lexicale	62	64	Cliges_A	Cliges_P	conteron	conter	VERcjg	parlerai	parler	VERcjg
lexicale	63	65	Cliges_A	Cliges_P	corageus	corajos	ADJqua	orgilleus	orgoillos	ADJqua
ajout	64	66	Cliges_A	Cliges_P				ne	ne1	ADVneg
ajout	69	71	Cliges_A	Cliges_P				tos	tot	DETind
lexicale	69	71	Cliges_A	Cliges_P	tozjorz	tozjors	ADVgen	jors	jor	NOMcom
lexicale	70	72	Cliges_A	Cliges_P	corz	cort1	NOMcom	cors	cors1	NOMcom
lacune	72	74	Cliges_A	Cliges_P	an	en2	PROadv			
lacune	73	75	Cliges_A	Cliges_P	il	il	PROper			
lexicale	74	76	Cliges_A	Cliges_P	nee	naistre	VERppe	nule	nul	ADJind
pos_diff	74	76	Cliges_A	Cliges_P	le	il	DETdef	l'	il	PROper
ajout	74	76	Cliges_A	Cliges_P				en	en2	PROadv
lexicale	74	76	Cliges_A	Cliges_P	deteingne	detenir	NOMcom	retiegne	retenir	VERcjg
lexicale	75	77	Cliges_A	Cliges_P	El	en1+le	PRE.DETdef	K'	que4	CONcoo
lexicale	75	77	Cliges_A	Cliges_P	mont	mont	NOMcom	aler	aler	VERinf
lexicale	75	77	Cliges_A	Cliges_P	que	que4	PROrel	ne	ne1	ADVneg
lexicale	75	77	Cliges_A	Cliges_P	n'	ne1	ADVneg	s'	soi1	PROper
lexicale	75	77	Cliges_A	Cliges_P	voist	aler	VERcjg	voelle	voloir	VERcjg
lexicale	76	78	Cliges_A	Cliges_P	Mes	mès	CONcoo	Mais	mais1	CONcoo
lexicale	78	80	Cliges_A	Cliges_P	Cornoaille	cornouailles	NOMpro	Cornuaille	corneille	NOMpro
pos_diff	80	82	Cliges_A	Cliges_P	Va	aler	NOMpro	Vait	aler	VERcjg
pos_diff	81	83	Cliges_A	Cliges_P	biax	bel1	ADJqua	biaus	bel1	NOMcom
lexicale	82	84	Cliges_A	Cliges_P	veuz	vëoir	NOMcom	vous	vos	PROper
lexicale	83	85	Cliges_A	Cliges_P	Et	et	CONcoo	Ne	ne2	ADVneg
ajout	85	87	Cliges_A	Cliges_P				et	et	CONcoo
lexicale	85	87	Cliges_A	Cliges_P	pris	prendre	NOMcom	pris	pris1	NOMcom
lexicale	86	88	Cliges_A	Cliges_P	Un	un	DETndf	j	je	PROper
pos_diff	86	88	Cliges_A	Cliges_P	don	don	PROrel	don	don	ADVgen
lexicale	86	88	Cliges_A	Cliges_P	os	os2	NOMcom	os	oser	NOMcom
lexicale	87	89	Cliges_A	Cliges_P	doingniez	deignier	VERcjg	doignies	doner	VERcjg
lexicale	90	92	Cliges_A	Cliges_P	ce	ce1	PROdem	cou	col	PROrel
pos_diff	90	92	Cliges_A	Cliges_P	grevez	grever	VERppe	greves	grever	ADJqua
pos_diff	91	93	Cliges_A	Cliges_P	po	poi	ADVgen	peu	poi	NOMcom
lexicale	98	100	Cliges_A	Cliges_P	pleisir	plaisir	NOMcom	palisir	palir	NOMcom
lexicale	101	103	Cliges_A	Cliges_P	qui	qui	PROrel	et	et	CONcoo
lexicale	106	108	Cliges_A	Cliges_P	plante	plante2	NOMcom	plente	plenté	NOMcom
pos_diff	112	114	Cliges_A	Cliges_P	justise	justice	VERcjg	justice	justice	NOMcom
lacune	113	115	Cliges_A	Cliges_P	Por	por2	PRE			
lexicale	113	115	Cliges_A	Cliges_P	ce	ce1	PROdem	Proier	priier	VERinf
ajout	114	116	Cliges_A	Cliges_P				armee	armer	VERppe
lacune	114	116	Cliges_A	Cliges_P	armee	armer	VERppe			
lexicale	115	117	Cliges_A	Cliges_P	el	en1+le	PRE.DETdef	en	en1	PRE
lexicale	119	121	Cliges_A	Cliges_P	Car	car	CONcoo	Ja	ja	ADVgen
pos_diff	121	123	Cliges_A	Cliges_P	Deu	dieu	NOMpro	diu	dieu	NOMcom
lexicale	121	123	Cliges_A	Cliges_P	ne	ne1	ADVneg	nel	ne1+il	ADVneg.PROper
lexicale	122	124	Cliges_A	Cliges_P	Cist	cest	DETdem	Cis	cel	DETdem
pos_diff	122	124	Cliges_A	Cliges_P	vostres	vostre	PROpos	vostre	vostre	DETpos
lexicale	124	126	Cliges_A	Cliges_P	por	por2	PRE	a	a3	PRE
lexicale	124	126	Cliges_A	Cliges_P	chiche	chiche2	ADJqua	chiche	chief1	NOMcom
lexicale	125	127	Cliges_A	Cliges_P	son	son4	DETpos	don	dont	PROrel
ajout	126	128	Cliges_A	Cliges_P				Par	par	PRE
lexicale	126	128	Cliges_A	Cliges_P	Demain	demain	NOMpro	tans	tant	NOMcom
pos_diff	127	129	Cliges_A	Cliges_P	seroiz	estre1	VERcjg	seres	estre1	ADJqua
lacune	129	131	Cliges_A	Cliges_P	54e	noiier2	PROper			
lexicale	129	131	Cliges_A	Cliges_P	de	de	PRE	tos	tot	DETind
lexicale	129	131	Cliges_A	Cliges_P	noz	nostre	DETpos	vos	vostre	ADJpos
lexicale	132	134	Cliges_A	Cliges_P	Qui	que2	PROrel	Qui	qui	PROrel
lacune	132	134	Cliges_A	Cliges_P	il	il	PROimp			
pos_diff	133	135	Cliges_A	Cliges_P	vaslez	vaslet	VERppe	valles	vaslet	NOMcom
lexicale	136	138	Cliges_A	Cliges_P	Et	et	CONcoo	Si	si	ADVgen
lexicale	138	140	Cliges_A	Cliges_P	feire	faire	VERinf	voles	voloir	VERcjg
lexicale	138	140	Cliges_A	Cliges_P	volez	voloir	VERcjg	faire	faire	VERinf
lexicale	139	141	Cliges_A	Cliges_P	ce	ce1	PROdem	cou	col	PROrel
lexicale	140	142	Cliges_A	Cliges_P	Or	or4	ADVgen	Dont	dont	PROrel
pos_diff	140	142	Cliges_A	Cliges_P	veir	vair1	ADJqua	vair	vair1	VERinf
pos_diff	140	142	Cliges_A	Cliges_P	gris	gris	ADJqua	gris	gris	NOMcom
lexicale	144	146	Cliges_A	Cliges_P	si	si	ADVgen	li	le	DETdef
lexicale	145	147	Cliges_A	Cliges_P	poisse	peser	VERcjg	peusse	pöoir	VERcjg
lacune	146	148	Cliges_A	Cliges_P	an	en2	PROadv			
lexicale	146	148	Cliges_A	Cliges_P	retorner	retorner	VERinf	enorter	enhorter	VERinf
lexicale	147	149	Cliges_A	Cliges_P	proiere	priiere	NOMcom	pormetre	prometre	VERinf
lexicale	147	149	Cliges_A	Cliges_P	par	par	PRE	por	por2	PRE
ajout	148	150	Cliges_A	Cliges_P				en	en2	PROadv
lacune	148	150	Cliges_A	Cliges_P	la	le	DETdef			
pos_diff	149	151	Cliges_A	Cliges_P	Veoir	vëoir	VERinf	Veir	vëoir	VERcjg
lexicale	149	151	Cliges_A	Cliges_P	ses	son4	DETpos	les	le	DETdef
ajout	150	152	Cliges_A	Cliges_P				est	estre1	VERcjg
lacune	150	152	Cliges_A	Cliges_P	est	estre1	VERcjg			
lexicale	153	155	Cliges_A	Cliges_P	avoir	avoir	VERinf	il	il	PROper
ajout	154	156	Cliges_A	Cliges_P				Avoir	avoir	VERinf
lexicale	154	156	Cliges_A	Cliges_P	terre	terre	NOMcom	mont	mont	NOMcom
lexicale	154	156	Cliges_A	Cliges_P	cheminoient	cheminer	VERcjg	erroient	errer2	VERcjg
lexicale	157	159	Cliges_A	Cliges_P	nule	nul	DETind	rien	rien	PROind
lexicale	157	159	Cliges_A	Cliges_P	rien	rien	NOMcom	nule	nul	ADJind
lexicale	158	160	Cliges_A	Cliges_P	jorz	jor	NOMcom	tans	tant	NOMcom
vers_ajoute		161	Cliges_A	Cliges_P						
vers_ajoute		162	Cliges_A	Cliges_P						
ajout	161	165	Cliges_A	Cliges_P				l	il	PROper
lexicale	161	165	Cliges_A	Cliges_P	lamasse	laissier	VERcjg	amasse	amer1	VERcjg
lexicale	162	166	Cliges_A	Cliges_P	loist	loisir1	VERcjg	loist	laissier	VERcjg
lexicale	163	167	Cliges_A	Cliges_P	conquerre	conquerre	VERinf	aquerre	aquerre	VERinf
pos_diff	163	167	Cliges_A	Cliges_P	vail	valoir	VERcjg	vail	valoir	NOMcom
ajout	164	168	Cliges_A	Cliges_P				I	i2	PROper
lexicale	165	169	Cliges_A	Cliges_P	sanz	sans	PRE	toute	tot	DETind
lexicale	165	169	Cliges_A	Cliges_P	dotance	dotance	NOMcom	voie	voie	NOMcom
ajout	166	170	Cliges_A	Cliges_P				Ot	avoir	VERcjg
lacune	166	170	Cliges_A	Cliges_P	ot	avoir	VERcjg			
lexicale	166	170	Cliges_A	Cliges_P	joie	joie	NOMcom	molt	mout	ADVgen
lexicale	166	170	Cliges_A	Cliges_P	et	et	CONcoo	gran	grant	ADJqua
lexicale	166	170	Cliges_A	Cliges_P	pesance	pesance	NOMcom	joie	joie	NOMcom
vers_absent	167		Cliges_A	Cliges_P						
vers_absent	168		Cliges_A	Cliges_P						
lexicale	170	172	Cliges_A	Cliges_P	De	de	PRE	Por	por2	PRE
lexicale	170	172	Cliges_A	Cliges_P	ce	ce1	PROdem	cou	col	PROdem
lexicale	171	173	Cliges_A	Cliges_P	Mes	mès	NOMpro	Mais	mais1	CONcoo
ajout	172	174	Cliges_A	Cliges_P				que	que4	PROrel
lacune	173	175	Cliges_A	Cliges_P	54f	sen2	NOMcom			
